"","n1","log_2_n2","power_welch","power_t","fdr_welch","fdr_t","diff_p_value"
"87",6,12,0.62898,0.6282,0.0926810414416779,0.0913292157901521,0.571357560067537
"88",6,13,0.62824,0.6279,0.0927848978441372,0.0918649583341296,0.284630737038883
"89",6,14,0.62608,0.62582,0.0924855822138493,0.0919739341084537,0.142608565733805
"90",6,15,0.62756,0.6275,0.0918760745756176,0.0916406247370698,0.0712641494592514
"91",6,16,0.62652,0.62646,0.0916596707158942,0.09151559288384,0.0357128683457367
"92",6,17,0.62552,0.62552,0.0914307844692468,0.0912934769837023,0.0178262545949587
"93",6,18,0.62682,0.62682,0.0911674359917763,0.091112751974088,0.0089202722385315
"94",6,19,0.62702,0.62702,0.0916454819489293,0.0916211537806532,0.00445787998072608
"95",6,20,0.6271,0.6271,0.0916933809001772,0.0916933809001772,0.00222698480593831
"96",6,21,0.6265,0.6265,0.0916062165081247,0.0916062165081247,0.00111578954532619
"97",6,22,0.62652,0.62652,0.0917656533214021,0.0917656533214021,0.000557989123749718
"98",6,23,0.62638,0.62638,0.0919225255885967,0.0919225255885967,0.000279120501695199
"99",6,24,0.62706,0.62706,0.09156633272049,0.09156633272049,0.00013964847920874
"100",6,25,0.62688,0.62688,0.0915581756368525,0.0915581756368525,6.98332533551723e-05
"101",7,1,0.32506,0.74358,0.220222674635164,0.596569156358366,726.990040915382
"102",7,2,0.55406,0.71254,0.0822311985074356,0.397502627699196,479.999454884735
"103",7,3,0.65936,0.69762,0.0880158546204787,0.244828570710377,288.560329672048
"104",7,4,0.68712,0.6905,0.109994999918951,0.159562743731147,162.029758001668
"105",7,5,0.68956,0.68228,0.115077298126081,0.119586922858727,85.6223305263868
"106",7,6,0.69384,0.68704,0.113252161967258,0.103162272715421,43.9121663004362
"107",7,7,0.68882,0.68406,0.105473570866397,0.096024075561375,22.1617174620327
"108",7,8,0.68428,0.68126,0.0998606986866883,0.0921687786735008,11.1017012964205
"109",7,9,0.68168,0.68006,0.0952640472319212,0.0908165947113168,5.55436950462555
"110",7,10,0.68268,0.68164,0.0927099479055541,0.0897156763608507,2.76456873171065
"111",7,11,0.68088,0.6805,0.0907164730461228,0.0892740420348915,1.38699570191946
"112",7,12,0.6834,0.68314,0.0899234675113387,0.0891124815743878,0.692616959001574
"113",7,13,0.68312,0.6831,0.0889708154700229,0.0887107921337141,0.34602667717153
"114",7,14,0.6821,0.68208,0.0886101165247085,0.0884165249779904,0.17337728815982
"115",7,15,0.68154,0.6815,0.0887568132632187,0.0887387279853317,0.0865745989561158
